episode,a_name,b_name,a_avg_chips,a_se_chips,a_mbb,a_mbb_se,games,seconds
10000000,baseline,neutral,+68.24,13.97,+682.4,139.7,5000,35
10000000,baseline,mv05_legacy,+78.97,14.05,+789.7,140.5,5000,39
10000000,baseline,mv_t_std_05,+63.80,14.34,+638.0,143.4,5000,35
10000000,baseline,mv_t_std_10,+41.52,12.36,+415.2,123.6,5000,32
10000000,baseline,mv_t_std_20,+79.58,11.52,+795.8,115.2,5000,32
10000000,baseline,mv_t_std_full,+159.84,9.13,+1598.4,91.3,5000,31
10000000,neutral,mv05_legacy,-4.29,15.55,-42.9,155.5,5000,40
10000000,neutral,mv_t_std_05,-9.18,16.51,-91.8,165.1,5000,38
10000000,neutral,mv_t_std_10,+7.33,13.02,+73.3,130.2,5000,33
10000000,neutral,mv_t_std_20,+18.84,12.53,+188.4,125.3,5000,39
10000000,neutral,mv_t_std_full,+197.69,9.71,+1976.9,97.1,5000,29
10000000,mv05_legacy,mv_t_std_05,-25.89,16.45,-258.9,164.5,5000,40
10000000,mv05_legacy,mv_t_std_10,+18.16,13.28,+181.6,132.8,5000,41
10000000,mv05_legacy,mv_t_std_20,+49.26,12.57,+492.6,125.7,5000,36
10000000,mv05_legacy,mv_t_std_full,+221.97,10.54,+2219.7,105.4,5000,31
10000000,mv_t_std_05,mv_t_std_10,+26.93,13.97,+269.3,139.7,5000,35
10000000,mv_t_std_05,mv_t_std_20,+55.01,13.05,+550.1,130.5,5000,34
10000000,mv_t_std_05,mv_t_std_full,+261.38,10.77,+2613.8,107.7,5000,32
10000000,mv_t_std_10,mv_t_std_20,+20.38,10.77,+203.8,107.7,5000,35
10000000,mv_t_std_10,mv_t_std_full,+169.13,10.63,+1691.3,106.3,5000,34
10000000,mv_t_std_20,mv_t_std_full,+151.81,9.56,+1518.1,95.6,5000,33
20000000,baseline,neutral,+64.32,13.48,+643.2,134.8,5000,39
20000000,baseline,mv05_legacy,+63.54,12.93,+635.4,129.3,5000,33
20000000,baseline,mv_t_std_05,+84.79,14.14,+847.9,141.4,5000,33
20000000,baseline,mv_t_std_10,+58.15,10.94,+581.5,109.4,5000,31
20000000,baseline,mv_t_std_20,+91.22,9.03,+912.2,90.3,5000,28
20000000,baseline,mv_t_std_full,+152.74,7.71,+1527.4,77.1,5000,27
20000000,neutral,mv05_legacy,+21.67,15.09,+216.7,150.9,5000,43
20000000,neutral,mv_t_std_05,+26.75,17.03,+267.5,170.3,5000,41
20000000,neutral,mv_t_std_10,+62.09,12.09,+620.9,120.9,5000,37
20000000,neutral,mv_t_std_20,+71.03,10.49,+710.3,104.9,5000,32
20000000,neutral,mv_t_std_full,+199.39,8.62,+1993.9,86.2,5000,28
20000000,mv05_legacy,mv_t_std_05,+9.19,15.55,+91.9,155.5,5000,37
20000000,mv05_legacy,mv_t_std_10,+46.91,11.70,+469.1,117.0,5000,34
20000000,mv05_legacy,mv_t_std_20,+70.46,9.74,+704.6,97.4,5000,29
20000000,mv05_legacy,mv_t_std_full,+185.31,8.71,+1853.1,87.1,5000,30
20000000,mv_t_std_05,mv_t_std_10,+58.19,12.64,+581.9,126.4,5000,35
20000000,mv_t_std_05,mv_t_std_20,+85.50,11.03,+855.0,110.3,5000,33
20000000,mv_t_std_05,mv_t_std_full,+253.08,9.37,+2530.8,93.7,5000,30
20000000,mv_t_std_10,mv_t_std_20,+49.26,7.88,+492.6,78.8,5000,23
20000000,mv_t_std_10,mv_t_std_full,+77.38,8.16,+773.8,81.6,5000,28
20000000,mv_t_std_20,mv_t_std_full,-0.64,7.00,-6.4,70.0,5000,22
30000000,baseline,neutral,+83.61,12.99,+836.1,129.9,5000,37
30000000,baseline,mv05_legacy,+53.33,13.29,+533.3,132.9,5000,35
30000000,baseline,mv_t_std_05,+81.77,13.24,+817.7,132.4,5000,34
30000000,baseline,mv_t_std_10,+88.10,10.24,+881.0,102.4,5000,33
30000000,baseline,mv_t_std_20,+87.40,7.81,+874.0,78.1,5000,23
30000000,baseline,mv_t_std_full,+118.01,6.41,+1180.1,64.1,5000,23
30000000,neutral,mv05_legacy,-4.88,15.44,-48.8,154.4,5000,42
30000000,neutral,mv_t_std_05,+24.28,15.61,+242.8,156.1,5000,39
30000000,neutral,mv_t_std_10,+40.38,11.50,+403.8,115.0,5000,37
30000000,neutral,mv_t_std_20,+72.14,9.23,+721.4,92.3,5000,27
30000000,neutral,mv_t_std_full,+168.62,7.50,+1686.2,75.0,5000,26
30000000,mv05_legacy,mv_t_std_05,+15.55,15.85,+155.5,158.5,5000,41
30000000,mv05_legacy,mv_t_std_10,+37.93,11.83,+379.3,118.3,5000,35
30000000,mv05_legacy,mv_t_std_20,+71.93,8.79,+719.3,87.9,5000,25
30000000,mv05_legacy,mv_t_std_full,+186.79,7.12,+1867.9,71.2,5000,24
30000000,mv_t_std_05,mv_t_std_10,+61.13,11.14,+611.3,111.4,5000,33
30000000,mv_t_std_05,mv_t_std_20,+69.18,9.07,+691.8,90.7,5000,28
30000000,mv_t_std_05,mv_t_std_full,+178.74,7.70,+1787.4,77.0,5000,22
30000000,mv_t_std_10,mv_t_std_20,+62.94,6.13,+629.4,61.3,5000,22
30000000,mv_t_std_10,mv_t_std_full,+63.45,6.40,+634.5,64.0,5000,19
30000000,mv_t_std_20,mv_t_std_full,-6.80,5.11,-68.0,51.1,5000,17
40000000,baseline,neutral,+75.22,12.69,+752.2,126.9,5000,30
40000000,baseline,mv05_legacy,+77.51,12.91,+775.1,129.1,5000,33
40000000,baseline,mv_t_std_05,+90.18,13.08,+901.8,130.8,5000,27
40000000,baseline,mv_t_std_10,+87.10,9.88,+871.0,98.8,5000,24
40000000,baseline,mv_t_std_20,+89.59,6.92,+895.9,69.2,5000,18
40000000,baseline,mv_t_std_full,+127.34,6.19,+1273.4,61.9,5000,19
40000000,neutral,mv05_legacy,+3.88,14.48,+38.8,144.8,5000,29
40000000,neutral,mv_t_std_05,+54.79,14.99,+547.9,149.9,5000,31
40000000,neutral,mv_t_std_10,+36.03,11.24,+360.3,112.4,5000,26
40000000,neutral,mv_t_std_20,+68.21,8.69,+682.1,86.9,5000,23
40000000,neutral,mv_t_std_full,+147.66,7.29,+1476.6,72.9,5000,22
40000000,mv05_legacy,mv_t_std_05,+14.39,14.98,+143.9,149.8,5000,29
40000000,mv05_legacy,mv_t_std_10,+31.13,10.81,+311.3,108.1,5000,27
40000000,mv05_legacy,mv_t_std_20,+68.79,7.93,+687.9,79.3,5000,19
40000000,mv05_legacy,mv_t_std_full,+153.10,6.68,+1531.0,66.8,5000,18
40000000,mv_t_std_05,mv_t_std_10,+33.08,10.31,+330.8,103.1,5000,23
40000000,mv_t_std_05,mv_t_std_20,+59.14,8.41,+591.4,84.1,5000,17
40000000,mv_t_std_05,mv_t_std_full,+157.16,7.34,+1571.6,73.4,5000,21
40000000,mv_t_std_10,mv_t_std_20,+74.26,5.31,+742.6,53.1,5000,11
40000000,mv_t_std_10,mv_t_std_full,+48.23,5.55,+482.3,55.5,5000,12
40000000,mv_t_std_20,mv_t_std_full,-16.34,4.46,-163.4,44.6,5000,8
50000000,baseline,neutral,+63.36,12.29,+633.6,122.9,5000,15
50000000,baseline,mv05_legacy,+57.43,12.40,+574.3,124.0,5000,15
50000000,baseline,mv_t_std_05,+90.52,12.48,+905.2,124.8,5000,15
50000000,baseline,mv_t_std_10,+91.03,9.61,+910.3,96.1,5000,12
50000000,baseline,mv_t_std_20,+89.23,6.32,+892.3,63.2,5000,9
50000000,baseline,mv_t_std_full,+114.91,6.56,+1149.1,65.6,5000,10
50000000,neutral,mv05_legacy,+2.04,14.06,+20.4,140.6,5000,16
50000000,neutral,mv_t_std_05,+16.64,14.89,+166.4,148.9,5000,16
50000000,neutral,mv_t_std_10,+26.96,11.06,+269.6,110.6,5000,14
50000000,neutral,mv_t_std_20,+52.61,8.22,+526.1,82.2,5000,12
50000000,neutral,mv_t_std_full,+137.09,7.59,+1370.9,75.9,5000,10
50000000,mv05_legacy,mv_t_std_05,-3.07,14.20,-30.7,142.0,5000,16
50000000,mv05_legacy,mv_t_std_10,+39.12,10.53,+391.2,105.3,5000,14
50000000,mv05_legacy,mv_t_std_20,+62.93,7.52,+629.3,75.2,5000,10
50000000,mv05_legacy,mv_t_std_full,+132.69,7.16,+1326.9,71.6,5000,10
50000000,mv_t_std_05,mv_t_std_10,+36.87,9.76,+368.7,97.6,5000,14
50000000,mv_t_std_05,mv_t_std_20,+61.72,8.54,+617.2,85.4,5000,11
50000000,mv_t_std_05,mv_t_std_full,+138.55,7.60,+1385.5,76.0,5000,10
50000000,mv_t_std_10,mv_t_std_20,+69.31,5.01,+693.1,50.1,5000,8
50000000,mv_t_std_10,mv_t_std_full,+41.13,5.52,+411.3,55.2,5000,9
50000000,mv_t_std_20,mv_t_std_full,-30.82,4.05,-308.2,40.5,5000,6
