NFSP C++ Hold'em holdem_64x64_baseline (nfsp) | seed=42 | 50000000 episodes | 3 workers | arch=[64,64] | batch=256 | learn_every=256 | target=128000 | dqn_lr=0.002 | sl_lr=0.0002 | dqn_buf=600000 | res_buf=15000000
==========================================================================================
[Ep   2300000/50000000] avg_r=  0.395 | h2h=  0.0000 | br=18.9017 | avg= 0.5124 |   3091 ep/s | 13.5m
[Ep   2350000/50000000] avg_r=  0.439 | h2h=  0.0000 | br=18.7282 | avg= 0.5130 |   3052 ep/s | 13.8m
[Ep   2400000/50000000] avg_r=  0.435 | h2h=  0.0000 | br=18.6524 | avg= 0.5140 |   3085 ep/s | 14.1m
[Ep   2450000/50000000] avg_r=  0.487 | h2h=  0.0000 | br=18.5170 | avg= 0.5148 |   3107 ep/s | 14.3m
[Ep   2500000/50000000] avg_r=  0.405 | h2h=  0.0000 | br=18.3955 | avg= 0.5167 |   3115 ep/s | 14.6m
[Ep   2550000/50000000] avg_r=  0.438 | h2h=  0.0000 | br=18.3836 | avg= 0.5170 |   3145 ep/s | 14.9m
[Ep   2600000/50000000] avg_r=  0.351 | h2h=  0.0000 | br=18.3489 | avg= 0.5176 |   3018 ep/s | 15.1m
[Ep   2650000/50000000] avg_r=  0.376 | h2h=  0.0000 | br=18.2321 | avg= 0.5186 |   3132 ep/s | 15.4m
[Ep   2700000/50000000] avg_r=  0.285 | h2h=  0.0000 | br=18.0526 | avg= 0.5186 |   3154 ep/s | 15.7m
[Ep   2750000/50000000] avg_r=  0.420 | h2h=  0.0000 | br=17.8215 | avg= 0.5186 |   3101 ep/s | 15.9m
[Ep   2800000/50000000] avg_r=  0.401 | h2h=  0.0000 | br=17.8412 | avg= 0.5211 |   3111 ep/s | 16.2m
[Ep   2850000/50000000] avg_r=  0.290 | h2h=  0.0000 | br=17.7620 | avg= 0.5210 |   3099 ep/s | 16.5m
[Ep   2900000/50000000] avg_r=  0.329 | h2h=  0.0000 | br=17.7294 | avg= 0.5216 |   3121 ep/s | 16.7m
[Ep   2950000/50000000] avg_r=  0.289 | h2h=  0.0000 | br=17.7287 | avg= 0.5212 |   3132 ep/s | 17.0m
[Ep   3000000/50000000] avg_r=  0.323 | h2h=  0.0000 | br=17.6146 | avg= 0.5233 |   3151 ep/s | 17.3m
[Ep   3050000/50000000] avg_r=  0.296 | h2h=  0.0000 | br=17.6315 | avg= 0.5231 |   3118 ep/s | 17.5m
[Ep   3100000/50000000] avg_r=  0.340 | h2h=  0.0000 | br=17.5437 | avg= 0.5235 |   3126 ep/s | 17.8m
[Ep   3150000/50000000] avg_r=  0.263 | h2h=  0.0000 | br=17.5059 | avg= 0.5240 |   3177 ep/s | 18.1m
[Ep   3200000/50000000] avg_r=  0.214 | h2h=  0.0000 | br=17.7516 | avg= 0.5257 |   3128 ep/s | 18.3m
[Ep   3250000/50000000] avg_r=  0.213 | h2h=  0.0000 | br=17.4911 | avg= 0.5246 |   3148 ep/s | 18.6m
[Ep   3300000/50000000] avg_r=  0.266 | h2h=  0.0000 | br=17.3268 | avg= 0.5261 |   3105 ep/s | 18.9m
[Ep   3350000/50000000] avg_r=  0.210 | h2h=  0.0000 | br=17.4489 | avg= 0.5255 |   3086 ep/s | 19.1m
[Ep   3400000/50000000] avg_r=  0.287 | h2h=  0.0000 | br=17.4365 | avg= 0.5254 |   3133 ep/s | 19.4m
[Ep   3450000/50000000] avg_r=  0.218 | h2h=  0.0000 | br=17.4007 | avg= 0.5266 |   3117 ep/s | 19.7m
[Ep   3500000/50000000] avg_r=  0.255 | h2h=  0.0000 | br=17.3992 | avg= 0.5265 |   3085 ep/s | 19.9m
[Ep   3550000/50000000] avg_r=  0.283 | h2h=  0.0000 | br=17.2389 | avg= 0.5271 |   3094 ep/s | 20.2m
[Ep   3600000/50000000] avg_r=  0.296 | h2h=  0.0000 | br=17.1703 | avg= 0.5273 |   3106 ep/s | 20.5m
[Ep   3650000/50000000] avg_r=  0.226 | h2h=  0.0000 | br=17.2145 | avg= 0.5271 |   3093 ep/s | 20.7m
[Ep   3700000/50000000] avg_r=  0.145 | h2h=  0.0000 | br=17.1606 | avg= 0.5291 |   3157 ep/s | 21.0m
[Ep   3750000/50000000] avg_r=  0.261 | h2h=  0.0000 | br=17.1429 | avg= 0.5303 |   3109 ep/s | 21.3m
[Ep   3800000/50000000] avg_r=  0.139 | h2h=  0.0000 | br=17.0559 | avg= 0.5296 |   3073 ep/s | 21.5m
[Ep   3850000/50000000] avg_r=  0.152 | h2h=  0.0000 | br=17.1107 | avg= 0.5301 |   3082 ep/s | 21.8m
[Ep   3900000/50000000] avg_r=  0.230 | h2h=  0.0000 | br=17.0923 | avg= 0.5306 |   3083 ep/s | 22.1m
[Ep   3950000/50000000] avg_r=  0.139 | h2h=  0.0000 | br=17.0635 | avg= 0.5299 |   3076 ep/s | 22.4m
[Ep   4000000/50000000] avg_r=  0.217 | h2h=  0.0000 | br=17.0351 | avg= 0.5313 |   3113 ep/s | 22.6m
[Ep   4050000/50000000] avg_r=  0.223 | h2h=  0.0000 | br=16.9396 | avg= 0.5314 |   3114 ep/s | 22.9m
[Ep   4100000/50000000] avg_r=  0.101 | h2h=  0.0000 | br=16.9154 | avg= 0.5305 |   3106 ep/s | 23.2m
[Ep   4150000/50000000] avg_r=  0.091 | h2h=  0.0000 | br=16.6535 | avg= 0.5327 |   3150 ep/s | 23.4m
[Ep   4200000/50000000] avg_r=  0.131 | h2h=  0.0000 | br=16.6048 | avg= 0.5320 |   3091 ep/s | 23.7m
[Ep   4250000/50000000] avg_r=  0.094 | h2h=  0.0000 | br=16.4448 | avg= 0.5338 |   3110 ep/s | 24.0m
[Ep   4300000/50000000] avg_r=  0.114 | h2h=  0.0000 | br=16.5385 | avg= 0.5332 |   3134 ep/s | 24.2m
[Ep   4350000/50000000] avg_r=  0.066 | h2h=  0.0000 | br=16.3607 | avg= 0.5336 |   3102 ep/s | 24.5m
[Ep   4400000/50000000] avg_r=  0.131 | h2h=  0.0000 | br=16.4249 | avg= 0.5340 |   3081 ep/s | 24.8m
[Ep   4450000/50000000] avg_r=  0.099 | h2h=  0.0000 | br=16.3825 | avg= 0.5352 |   3097 ep/s | 25.0m
[Ep   4500000/50000000] avg_r=  0.076 | h2h=  0.0000 | br=16.2542 | avg= 0.5348 |   3128 ep/s | 25.3m
[Ep   4550000/50000000] avg_r=  0.075 | h2h=  0.0000 | br=16.1595 | avg= 0.5354 |   3133 ep/s | 25.6m
[Ep   4600000/50000000] avg_r=  0.116 | h2h=  0.0000 | br=16.1111 | avg= 0.5353 |   3107 ep/s | 25.8m
[Ep   4650000/50000000] avg_r=  0.075 | h2h=  0.0000 | br=16.0091 | avg= 0.5382 |   3112 ep/s | 26.1m
[Ep   4700000/50000000] avg_r=  0.124 | h2h=  0.0000 | br=16.0550 | avg= 0.5375 |   3089 ep/s | 26.4m
[Ep   4750000/50000000] avg_r=  0.081 | h2h=  0.0000 | br=16.1019 | avg= 0.5377 |   3170 ep/s | 26.6m
[Ep   4800000/50000000] avg_r=  0.086 | h2h=  0.0000 | br=15.9010 | avg= 0.5395 |   3139 ep/s | 26.9m
[Ep   4850000/50000000] avg_r=  0.165 | h2h=  0.0000 | br=15.7292 | avg= 0.5382 |   3127 ep/s | 27.2m
[Ep   4900000/50000000] avg_r=  0.065 | h2h=  0.0000 | br=15.6261 | avg= 0.5395 |   3154 ep/s | 27.4m
[Ep   4950000/50000000] avg_r=  0.093 | h2h=  0.0000 | br=15.7042 | avg= 0.5410 |   3099 ep/s | 27.7m
[Ep   5000000/50000000] avg_r=  0.040 | h2h=  0.0000 | br=15.5205 | avg= 0.5415 |   3102 ep/s | 28.0m
[Ep   5050000/50000000] avg_r=  0.155 | h2h=  0.0000 | br=15.4193 | avg= 0.5427 |   3124 ep/s | 28.2m
[Ep   5100000/50000000] avg_r=  0.070 | h2h=  0.0000 | br=15.6527 | avg= 0.5408 |   3183 ep/s | 28.5m
[Ep   5150000/50000000] avg_r=  0.036 | h2h=  0.0000 | br=15.5624 | avg= 0.5393 |   3135 ep/s | 28.8m
[Ep   5200000/50000000] avg_r=  0.097 | h2h=  0.0000 | br=15.5737 | avg= 0.5413 |   3101 ep/s | 29.0m
[Ep   5250000/50000000] avg_r=  0.083 | h2h=  0.0000 | br=15.3124 | avg= 0.5410 |   3137 ep/s | 29.3m
[Ep   5300000/50000000] avg_r=  0.104 | h2h=  0.0000 | br=15.4063 | avg= 0.5413 |   3105 ep/s | 29.6m
[Ep   5350000/50000000] avg_r=  0.071 | h2h=  0.0000 | br=15.4341 | avg= 0.5433 |   3167 ep/s | 29.8m
[Ep   5400000/50000000] avg_r=  0.075 | h2h=  0.0000 | br=15.3732 | avg= 0.5428 |   3136 ep/s | 30.1m
[Ep   5450000/50000000] avg_r=  0.108 | h2h=  0.0000 | br=15.5195 | avg= 0.5432 |   3078 ep/s | 30.4m
[Ep   5500000/50000000] avg_r=  0.108 | h2h=  0.0000 | br=15.5281 | avg= 0.5429 |   3112 ep/s | 30.6m
[Ep   5550000/50000000] avg_r=  0.044 | h2h=  0.0000 | br=15.4105 | avg= 0.5438 |   3125 ep/s | 30.9m
[Ep   5600000/50000000] avg_r=  0.051 | h2h=  0.0000 | br=15.4858 | avg= 0.5434 |   3130 ep/s | 31.2m
[Ep   5650000/50000000] avg_r=  0.099 | h2h=  0.0000 | br=15.3194 | avg= 0.5435 |   3098 ep/s | 31.4m
[Ep   5700000/50000000] avg_r=  0.019 | h2h=  0.0000 | br=15.6801 | avg= 0.5431 |   3082 ep/s | 31.7m
[Ep   5750000/50000000] avg_r=  0.011 | h2h=  0.0000 | br=15.5859 | avg= 0.5431 |   3118 ep/s | 32.0m
[Ep   5800000/50000000] avg_r=  0.089 | h2h=  0.0000 | br=15.5621 | avg= 0.5434 |   3116 ep/s | 32.2m
[Ep   5850000/50000000] avg_r= -0.009 | h2h=  0.0000 | br=15.6375 | avg= 0.5426 |   3166 ep/s | 32.5m
[Ep   5900000/50000000] avg_r=  0.057 | h2h=  0.0000 | br=15.5742 | avg= 0.5427 |   3092 ep/s | 32.8m
[Ep   5950000/50000000] avg_r=  0.039 | h2h=  0.0000 | br=15.7411 | avg= 0.5466 |   3117 ep/s | 33.0m
[Ep   6000000/50000000] avg_r=  0.103 | h2h=  0.0000 | br=15.4605 | avg= 0.5440 |   3071 ep/s | 33.3m
[Ep   6050000/50000000] avg_r=  0.132 | h2h=  0.0000 | br=15.5111 | avg= 0.5449 |   3127 ep/s | 33.6m
[Ep   6100000/50000000] avg_r=  0.042 | h2h=  0.0000 | br=15.4569 | avg= 0.5450 |   3120 ep/s | 33.9m
[Ep   6150000/50000000] avg_r=  0.074 | h2h=  0.0000 | br=15.4735 | avg= 0.5458 |   3111 ep/s | 34.1m
[Ep   6200000/50000000] avg_r=  0.066 | h2h=  0.0000 | br=15.5815 | avg= 0.5473 |   3076 ep/s | 34.4m
[Ep   6250000/50000000] avg_r=  0.030 | h2h=  0.0000 | br=15.7529 | avg= 0.5461 |   3053 ep/s | 34.7m
[Ep   6300000/50000000] avg_r=  0.063 | h2h=  0.0000 | br=15.7086 | avg= 0.5459 |   3085 ep/s | 34.9m
[Ep   6350000/50000000] avg_r=  0.061 | h2h=  0.0000 | br=15.8175 | avg= 0.5462 |   3037 ep/s | 35.2m
[Ep   6400000/50000000] avg_r=  0.013 | h2h=  0.0000 | br=15.8925 | avg= 0.5474 |   3062 ep/s | 35.5m
[Ep   6450000/50000000] avg_r=  0.090 | h2h=  0.0000 | br=15.7753 | avg= 0.5474 |   3040 ep/s | 35.8m
[Ep   6500000/50000000] avg_r=  0.087 | h2h=  0.0000 | br=15.6538 | avg= 0.5475 |   3069 ep/s | 36.0m
[Ep   6550000/50000000] avg_r=  0.125 | h2h=  0.0000 | br=15.7503 | avg= 0.5478 |   3043 ep/s | 36.3m
[Ep   6600000/50000000] avg_r=  0.088 | h2h=  0.0000 | br=15.6781 | avg= 0.5473 |   3078 ep/s | 36.6m
