NFSP C++ Hold'em holdem_64x64_mv_train_std_05 (nfsp_iqn) | seed=42 | 50000000 episodes | 3 workers | arch=[64,64] | batch=256 | learn_every=256 | target=128000 | dqn_lr=0.002 | sl_lr=0.0002 | dqn_buf=600000 | res_buf=15000000
==========================================================================================
[Ep     50000/50000000] avg_r=  0.840 | h2h=  0.0000 | br= 0.4175 | avg= 0.3306 | fc=0.008 |   2406 ep/s | 0.3m
[Ep    100000/50000000] avg_r=  0.649 | h2h=  0.0000 | br= 0.5171 | avg= 0.3364 | fc=0.008 |   2130 ep/s | 0.7m
[Ep    150000/50000000] avg_r=  0.655 | h2h=  0.0000 | br= 0.5336 | avg= 0.3451 | fc=0.004 |   2278 ep/s | 1.1m
[Ep    200000/50000000] avg_r=  0.523 | h2h=  0.0000 | br= 0.5162 | avg= 0.3621 | fc=0.004 |   2297 ep/s | 1.5m
[Ep    250000/50000000] avg_r=  0.577 | h2h=  0.0000 | br= 0.5105 | avg= 0.3797 | fc=0.006 |   2263 ep/s | 1.8m
[Ep    300000/50000000] avg_r=  0.578 | h2h=  0.0000 | br= 0.5083 | avg= 0.3842 | fc=0.006 |   2352 ep/s | 2.2m
[Ep    350000/50000000] avg_r=  0.607 | h2h=  0.0000 | br= 0.5070 | avg= 0.3871 | fc=0.006 |   2413 ep/s | 2.5m
[Ep    400000/50000000] avg_r=  0.362 | h2h=  0.0000 | br= 0.5064 | avg= 0.3899 | fc=0.014 |   2432 ep/s | 2.9m
[Ep    450000/50000000] avg_r=  0.449 | h2h=  0.0000 | br= 0.4989 | avg= 0.4100 | fc=0.014 |   2423 ep/s | 3.2m
[Ep    500000/50000000] avg_r=  0.386 | h2h=  0.0000 | br= 0.4901 | avg= 0.4094 | fc=0.006 |   2489 ep/s | 3.6m
[Ep    550000/50000000] avg_r=  0.313 | h2h=  0.0000 | br= 0.4892 | avg= 0.4065 | fc=0.004 |   2403 ep/s | 3.9m
[Ep    600000/50000000] avg_r=  0.426 | h2h=  0.0000 | br= 0.4868 | avg= 0.4065 | fc=0.004 |   2364 ep/s | 4.3m
[Ep    650000/50000000] avg_r=  0.422 | h2h=  0.0000 | br= 0.4871 | avg= 0.3968 | fc=0.008 |   2324 ep/s | 4.6m
[Ep    700000/50000000] avg_r=  0.383 | h2h=  0.0000 | br= 0.6510 | avg= 0.3976 | fc=0.113 |   2563 ep/s | 4.9m
[Ep    750000/50000000] avg_r=  0.383 | h2h=  0.0000 | br= 0.6934 | avg= 0.3958 | fc=0.166 |   2438 ep/s | 5.3m
[Ep    800000/50000000] avg_r=  0.361 | h2h=  0.0000 | br= 0.8257 | avg= 0.4049 | fc=0.162 |   2448 ep/s | 5.6m
[Ep    850000/50000000] avg_r=  0.411 | h2h=  0.0000 | br= 0.8141 | avg= 0.4063 | fc=0.184 |   2509 ep/s | 6.0m
[Ep    900000/50000000] avg_r=  0.402 | h2h=  0.0000 | br= 0.8079 | avg= 0.4056 | fc=0.201 |   2431 ep/s | 6.3m
