NFSP C++ Hold'em holdem_64x64_mv_train_std_full (nfsp_iqn) | seed=42 | 50000000 episodes | 3 workers | arch=[64,64] | batch=256 | learn_every=256 | target=128000 | dqn_lr=0.002 | sl_lr=0.0002 | dqn_buf=600000 | res_buf=15000000
==========================================================================================
[Ep   2000000/50000000] avg_r=  0.815 | h2h=  0.0000 | br= 0.9477 | avg= 0.3460 | fc=0.324 |   2237 ep/s | 15.4m
[Ep   2050000/50000000] avg_r=  0.814 | h2h=  0.0000 | br= 0.9490 | avg= 0.3483 | fc=0.295 |   2155 ep/s | 15.8m
[Ep   2100000/50000000] avg_r=  0.826 | h2h=  0.0000 | br= 0.9491 | avg= 0.3500 | fc=0.311 |   2233 ep/s | 16.1m
[Ep   2150000/50000000] avg_r=  0.718 | h2h=  0.0000 | br= 0.9514 | avg= 0.3494 | fc=0.316 |   2181 ep/s | 16.5m
[Ep   2200000/50000000] avg_r=  0.728 | h2h=  0.0000 | br= 0.9522 | avg= 0.3520 | fc=0.332 |   2158 ep/s | 16.9m
[Ep   2250000/50000000] avg_r=  0.741 | h2h=  0.0000 | br= 0.9460 | avg= 0.3524 | fc=0.303 |   2213 ep/s | 17.3m
[Ep   2300000/50000000] avg_r=  0.748 | h2h=  0.0000 | br= 0.9466 | avg= 0.3506 | fc=0.303 |   2164 ep/s | 17.7m
[Ep   2350000/50000000] avg_r=  0.735 | h2h=  0.0000 | br= 0.9472 | avg= 0.3525 | fc=0.264 |   2170 ep/s | 18.0m
[Ep   2400000/50000000] avg_r=  0.766 | h2h=  0.0000 | br= 0.9502 | avg= 0.3516 | fc=0.305 |   2156 ep/s | 18.4m
[Ep   2450000/50000000] avg_r=  0.677 | h2h=  0.0000 | br= 0.9461 | avg= 0.3531 | fc=0.314 |   2260 ep/s | 18.8m
[Ep   2500000/50000000] avg_r=  0.693 | h2h=  0.0000 | br= 0.9435 | avg= 0.3572 | fc=0.307 |   2193 ep/s | 19.2m
[Ep   2550000/50000000] avg_r=  0.711 | h2h=  0.0000 | br= 0.9446 | avg= 0.3583 | fc=0.334 |   2226 ep/s | 19.6m
[Ep   2600000/50000000] avg_r=  0.161 | h2h=  0.0000 | br= 1.0107 | avg= 0.3576 | fc=0.305 |   2260 ep/s | 19.9m
[Ep   2650000/50000000] avg_r=  0.152 | h2h=  0.0000 | br= 0.9947 | avg= 0.3602 | fc=0.260 |   2272 ep/s | 20.3m
[Ep   2700000/50000000] avg_r=  0.067 | h2h=  0.0000 | br= 0.9701 | avg= 0.3644 | fc=0.293 |   2260 ep/s | 20.7m
[Ep   2750000/50000000] avg_r=  0.164 | h2h=  0.0000 | br= 0.9630 | avg= 0.3693 | fc=0.297 |   2294 ep/s | 21.0m
[Ep   2800000/50000000] avg_r=  0.027 | h2h=  0.0000 | br= 0.9630 | avg= 0.3685 | fc=0.242 |   2266 ep/s | 21.4m
[Ep   2850000/50000000] avg_r=  0.016 | h2h=  0.0000 | br= 0.9615 | avg= 0.3726 | fc=0.279 |   2296 ep/s | 21.8m
[Ep   2900000/50000000] avg_r=  0.071 | h2h=  0.0000 | br= 0.9584 | avg= 0.3736 | fc=0.262 |   2259 ep/s | 22.1m
[Ep   2950000/50000000] avg_r=  0.067 | h2h=  0.0000 | br= 0.9578 | avg= 0.3742 | fc=0.273 |   2343 ep/s | 22.5m
[Ep   3000000/50000000] avg_r=  0.083 | h2h=  0.0000 | br= 0.9570 | avg= 0.3753 | fc=0.270 |   2236 ep/s | 22.8m
