NFSP C++ Hold'em holdem_64x64_mv_train_std_10 (nfsp_iqn) | seed=42 | 50000000 episodes | 3 workers | arch=[64,64] | batch=256 | learn_every=256 | target=128000 | dqn_lr=0.002 | sl_lr=0.0002 | dqn_buf=600000 | res_buf=15000000
==========================================================================================
[Ep   2000000/50000000] avg_r=  0.340 | h2h=  0.0000 | br= 1.2201 | avg= 0.3841 | fc=0.361 |   2350 ep/s | 15.0m
[Ep   2050000/50000000] avg_r=  0.306 | h2h=  0.0000 | br= 1.2179 | avg= 0.3841 | fc=0.307 |   2298 ep/s | 15.4m
[Ep   2100000/50000000] avg_r=  0.384 | h2h=  0.0000 | br= 1.2163 | avg= 0.3837 | fc=0.361 |   2239 ep/s | 15.7m
[Ep   2150000/50000000] avg_r=  0.365 | h2h=  0.0000 | br= 1.2172 | avg= 0.3843 | fc=0.355 |   2218 ep/s | 16.1m
[Ep   2200000/50000000] avg_r=  0.273 | h2h=  0.0000 | br= 1.2150 | avg= 0.3838 | fc=0.365 |   2221 ep/s | 16.5m
[Ep   2250000/50000000] avg_r=  0.283 | h2h=  0.0000 | br= 1.2178 | avg= 0.3824 | fc=0.369 |   2216 ep/s | 16.9m
[Ep   2300000/50000000] avg_r=  0.290 | h2h=  0.0000 | br= 1.2154 | avg= 0.3841 | fc=0.330 |   2235 ep/s | 17.2m
[Ep   2350000/50000000] avg_r=  0.283 | h2h=  0.0000 | br= 1.2145 | avg= 0.3789 | fc=0.354 |   2259 ep/s | 17.6m
[Ep   2400000/50000000] avg_r=  0.315 | h2h=  0.0000 | br= 1.2142 | avg= 0.3794 | fc=0.348 |   2199 ep/s | 18.0m
[Ep   2450000/50000000] avg_r=  0.315 | h2h=  0.0000 | br= 1.2183 | avg= 0.3795 | fc=0.379 |   2283 ep/s | 18.3m
[Ep   2500000/50000000] avg_r=  0.298 | h2h=  0.0000 | br= 1.2150 | avg= 0.3791 | fc=0.352 |   2287 ep/s | 18.7m
[Ep   2550000/50000000] avg_r=  0.332 | h2h=  0.0000 | br= 1.2131 | avg= 0.3776 | fc=0.355 |   2252 ep/s | 19.1m
[Ep   2600000/50000000] avg_r=  0.309 | h2h=  0.0000 | br= 1.2147 | avg= 0.3753 | fc=0.361 |   2282 ep/s | 19.4m
[Ep   2650000/50000000] avg_r=  0.203 | h2h=  0.0000 | br= 1.2167 | avg= 0.3741 | fc=0.389 |   2211 ep/s | 19.8m
[Ep   2700000/50000000] avg_r=  0.242 | h2h=  0.0000 | br= 1.2132 | avg= 0.3748 | fc=0.342 |   2297 ep/s | 20.2m
[Ep   2750000/50000000] avg_r=  0.254 | h2h=  0.0000 | br= 1.2157 | avg= 0.3707 | fc=0.318 |   2287 ep/s | 20.5m
[Ep   2800000/50000000] avg_r=  0.296 | h2h=  0.0000 | br= 1.2121 | avg= 0.3704 | fc=0.373 |   2184 ep/s | 20.9m
[Ep   2850000/50000000] avg_r=  0.239 | h2h=  0.0000 | br= 1.2105 | avg= 0.3678 | fc=0.375 |   2268 ep/s | 21.3m
[Ep   2900000/50000000] avg_r=  0.333 | h2h=  0.0000 | br= 1.2146 | avg= 0.3662 | fc=0.346 |   2256 ep/s | 21.7m
[Ep   2950000/50000000] avg_r=  0.337 | h2h=  0.0000 | br= 1.2160 | avg= 0.3669 | fc=0.316 |   2258 ep/s | 22.0m
[Ep   3000000/50000000] avg_r=  0.282 | h2h=  0.0000 | br= 1.2119 | avg= 0.3653 | fc=0.400 |   2296 ep/s | 22.4m
[Ep   3050000/50000000] avg_r=  0.263 | h2h=  0.0000 | br= 1.2149 | avg= 0.3843 | fc=0.357 |   2253 ep/s | 22.8m
[Ep   3100000/50000000] avg_r=  0.276 | h2h=  0.0000 | br= 1.2095 | avg= 0.3879 | fc=0.350 |   2316 ep/s | 23.1m
[Ep   3150000/50000000] avg_r=  0.289 | h2h=  0.0000 | br= 1.2190 | avg= 0.3653 | fc=0.447 |   2334 ep/s | 23.5m
[Ep   3200000/50000000] avg_r=  0.348 | h2h=  0.0000 | br= 1.1554 | avg= 0.3651 | fc=0.449 |   2305 ep/s | 23.8m
[Ep   3250000/50000000] avg_r=  0.236 | h2h=  0.0000 | br= 1.1131 | avg= 0.3662 | fc=0.455 |   2269 ep/s | 24.2m
[Ep   3300000/50000000] avg_r=  0.317 | h2h=  0.0000 | br= 1.1110 | avg= 0.3676 | fc=0.475 |   2334 ep/s | 24.6m
[Ep   3350000/50000000] avg_r=  0.245 | h2h=  0.0000 | br= 1.1138 | avg= 0.3729 | fc=0.424 |   2377 ep/s | 24.9m
[Ep   3400000/50000000] avg_r=  0.271 | h2h=  0.0000 | br= 1.1103 | avg= 0.3752 | fc=0.432 |   2319 ep/s | 25.3m
[Ep   3450000/50000000] avg_r=  0.160 | h2h=  0.0000 | br= 1.1071 | avg= 0.3769 | fc=0.443 |   2368 ep/s | 25.6m
[Ep   3500000/50000000] avg_r=  0.208 | h2h=  0.0000 | br= 1.1593 | avg= 0.3733 | fc=0.549 |   2365 ep/s | 26.0m
[Ep   3550000/50000000] avg_r=  0.345 | h2h=  0.0000 | br= 1.1910 | avg= 0.3728 | fc=0.496 |   2337 ep/s | 26.3m
[Ep   3600000/50000000] avg_r=  0.324 | h2h=  0.0000 | br= 1.1988 | avg= 0.3759 | fc=0.564 |   2315 ep/s | 26.7m
[Ep   3650000/50000000] avg_r=  0.321 | h2h=  0.0000 | br= 1.1975 | avg= 0.3774 | fc=0.510 |   2354 ep/s | 27.1m
[Ep   3700000/50000000] avg_r=  0.343 | h2h=  0.0000 | br= 1.1999 | avg= 0.3809 | fc=0.500 |   2358 ep/s | 27.4m
[Ep   3750000/50000000] avg_r=  0.302 | h2h=  0.0000 | br= 1.2004 | avg= 0.3814 | fc=0.500 |   2293 ep/s | 27.8m
[Ep   3800000/50000000] avg_r=  0.315 | h2h=  0.0000 | br= 1.2000 | avg= 0.3813 | fc=0.502 |   2352 ep/s | 28.1m
