NFSP C++ Hold'em holdem_64x64_mv_train_std_20 (nfsp_iqn) | seed=42 | 50000000 episodes | 3 workers | arch=[64,64] | batch=256 | learn_every=256 | target=128000 | dqn_lr=0.002 | sl_lr=0.0002 | dqn_buf=600000 | res_buf=15000000
==========================================================================================
[Ep     50000/50000000] avg_r=  0.680 | h2h=  0.0000 | br= 0.4256 | avg= 0.3674 | fc=0.023 |   2373 ep/s | 0.4m
[Ep    100000/50000000] avg_r=  0.376 | h2h=  0.0000 | br= 0.5177 | avg= 0.3294 | fc=0.023 |   2138 ep/s | 0.7m
[Ep    150000/50000000] avg_r=  0.573 | h2h=  0.0000 | br= 0.5264 | avg= 0.3313 | fc=0.010 |   2126 ep/s | 1.1m
[Ep    200000/50000000] avg_r=  0.542 | h2h=  0.0000 | br= 0.5212 | avg= 0.3189 | fc=0.021 |   2174 ep/s | 1.5m
[Ep    250000/50000000] avg_r=  0.624 | h2h=  0.0000 | br= 0.5194 | avg= 0.3209 | fc=0.027 |   2123 ep/s | 1.9m
[Ep    300000/50000000] avg_r=  0.570 | h2h=  0.0000 | br= 0.5129 | avg= 0.3181 | fc=0.047 |   2131 ep/s | 2.3m
[Ep    350000/50000000] avg_r=  0.668 | h2h=  0.0000 | br= 0.5105 | avg= 0.3208 | fc=0.020 |   2133 ep/s | 2.7m
[Ep    400000/50000000] avg_r=  0.637 | h2h=  0.0000 | br= 0.5702 | avg= 0.3353 | fc=0.242 |   2135 ep/s | 3.1m
[Ep    450000/50000000] avg_r=  0.664 | h2h=  0.0000 | br= 0.6025 | avg= 0.3387 | fc=0.225 |   2181 ep/s | 3.5m
[Ep    500000/50000000] avg_r=  0.734 | h2h=  0.0000 | br= 0.5976 | avg= 0.3392 | fc=0.252 |   2144 ep/s | 3.9m
[Ep    550000/50000000] avg_r=  0.617 | h2h=  0.0000 | br= 0.5898 | avg= 0.3382 | fc=0.246 |   2178 ep/s | 4.2m
[Ep    600000/50000000] avg_r=  0.639 | h2h=  0.0000 | br= 0.5940 | avg= 0.3338 | fc=0.240 |   2128 ep/s | 4.6m
[Ep    650000/50000000] avg_r=  0.778 | h2h=  0.0000 | br= 0.5869 | avg= 0.3325 | fc=0.270 |   2132 ep/s | 5.0m
[Ep    700000/50000000] avg_r=  0.708 | h2h=  0.0000 | br= 0.6210 | avg= 0.3297 | fc=0.422 |   2167 ep/s | 5.4m
[Ep    750000/50000000] avg_r=  0.517 | h2h=  0.0000 | br= 0.7558 | avg= 0.3282 | fc=0.398 |   2226 ep/s | 5.8m
[Ep    800000/50000000] avg_r=  0.399 | h2h=  0.0000 | br= 0.7678 | avg= 0.3555 | fc=0.391 |   2251 ep/s | 6.1m
[Ep    850000/50000000] avg_r=  0.496 | h2h=  0.0000 | br= 0.7622 | avg= 0.3644 | fc=0.365 |   2210 ep/s | 6.5m
[Ep    900000/50000000] avg_r=  0.472 | h2h=  0.0000 | br= 0.7628 | avg= 0.3704 | fc=0.400 |   2203 ep/s | 6.9m
[Ep    950000/50000000] avg_r=  0.375 | h2h=  0.0000 | br= 0.7578 | avg= 0.3722 | fc=0.371 |   2227 ep/s | 7.3m
[Ep   1000000/50000000] avg_r=  0.455 | h2h=  0.0000 | br= 0.7561 | avg= 0.3741 | fc=0.408 |   2243 ep/s | 7.6m
[Ep   1050000/50000000] avg_r=  0.480 | h2h=  0.0000 | br= 0.7551 | avg= 0.3757 | fc=0.373 |   2211 ep/s | 8.0m
[Ep   1100000/50000000] avg_r=  0.464 | h2h=  0.0000 | br= 0.7603 | avg= 0.3779 | fc=0.387 |   2219 ep/s | 8.4m
[Ep   1150000/50000000] avg_r=  0.438 | h2h=  0.0000 | br= 0.7567 | avg= 0.3761 | fc=0.371 |   2202 ep/s | 8.8m
[Ep   1200000/50000000] avg_r=  0.459 | h2h=  0.0000 | br= 0.7543 | avg= 0.3737 | fc=0.369 |   2172 ep/s | 9.2m
[Ep   1250000/50000000] avg_r=  0.449 | h2h=  0.0000 | br= 0.7488 | avg= 0.3737 | fc=0.369 |   2224 ep/s | 9.5m
[Ep   1300000/50000000] avg_r=  0.389 | h2h=  0.0000 | br= 0.7571 | avg= 0.3718 | fc=0.359 |   2242 ep/s | 9.9m
[Ep   1350000/50000000] avg_r=  0.450 | h2h=  0.0000 | br= 0.7529 | avg= 0.3695 | fc=0.365 |   2256 ep/s | 10.3m
[Ep   1400000/50000000] avg_r=  0.283 | h2h=  0.0000 | br= 0.7543 | avg= 0.3890 | fc=0.367 |   2227 ep/s | 10.7m
[Ep   1450000/50000000] avg_r=  0.283 | h2h=  0.0000 | br= 0.8434 | avg= 0.3728 | fc=0.359 |   2216 ep/s | 11.0m
[Ep   1500000/50000000] avg_r=  0.303 | h2h=  0.0000 | br= 0.9427 | avg= 0.3724 | fc=0.352 |   2310 ep/s | 11.4m
[Ep   1550000/50000000] avg_r=  0.285 | h2h=  0.0000 | br= 0.9125 | avg= 0.3768 | fc=0.369 |   2406 ep/s | 11.7m
[Ep   1600000/50000000] avg_r=  0.213 | h2h=  0.0000 | br= 0.8806 | avg= 0.3790 | fc=0.359 |   2365 ep/s | 12.1m
[Ep   1650000/50000000] avg_r=  0.196 | h2h=  0.0000 | br= 0.8755 | avg= 0.3845 | fc=0.387 |   2338 ep/s | 12.4m
[Ep   1700000/50000000] avg_r=  0.260 | h2h=  0.0000 | br= 0.8758 | avg= 0.3821 | fc=0.363 |   2344 ep/s | 12.8m
[Ep   1750000/50000000] avg_r=  0.227 | h2h=  0.0000 | br= 0.8726 | avg= 0.3824 | fc=0.383 |   2370 ep/s | 13.2m
[Ep   1800000/50000000] avg_r=  0.302 | h2h=  0.0000 | br= 0.8730 | avg= 0.3860 | fc=0.373 |   2274 ep/s | 13.5m
[Ep   1850000/50000000] avg_r=  0.161 | h2h=  0.0000 | br= 0.8749 | avg= 0.3862 | fc=0.363 |   2315 ep/s | 13.9m
[Ep   1900000/50000000] avg_r=  0.206 | h2h=  0.0000 | br= 0.8685 | avg= 0.3859 | fc=0.357 |   2348 ep/s | 14.2m
[Ep   1950000/50000000] avg_r=  0.267 | h2h=  0.0000 | br= 0.8682 | avg= 0.3835 | fc=0.383 |   2276 ep/s | 14.6m
[Ep   2000000/50000000] avg_r=  0.245 | h2h=  0.0000 | br= 0.8692 | avg= 0.3830 | fc=0.418 |   2334 ep/s | 15.0m
[Ep   2050000/50000000] avg_r=  0.227 | h2h=  0.0000 | br= 0.8683 | avg= 0.3855 | fc=0.365 |   2374 ep/s | 15.3m
[Ep   2100000/50000000] avg_r=  0.214 | h2h=  0.0000 | br= 0.8697 | avg= 0.3806 | fc=0.348 |   2296 ep/s | 15.7m
[Ep   2150000/50000000] avg_r=  0.257 | h2h=  0.0000 | br= 0.8693 | avg= 0.3780 | fc=0.395 |   2321 ep/s | 16.0m
[Ep   2200000/50000000] avg_r=  0.214 | h2h=  0.0000 | br= 0.8700 | avg= 0.3801 | fc=0.354 |   2375 ep/s | 16.4m
[Ep   2250000/50000000] avg_r=  0.192 | h2h=  0.0000 | br= 0.8695 | avg= 0.3778 | fc=0.373 |   2332 ep/s | 16.7m
[Ep   2300000/50000000] avg_r=  0.226 | h2h=  0.0000 | br= 0.8643 | avg= 0.3764 | fc=0.359 |   2328 ep/s | 17.1m
[Ep   2350000/50000000] avg_r=  0.274 | h2h=  0.0000 | br= 0.8694 | avg= 0.3763 | fc=0.400 |   2295 ep/s | 17.5m
[Ep   2400000/50000000] avg_r=  0.271 | h2h=  0.0000 | br= 0.8711 | avg= 0.3739 | fc=0.391 |   2334 ep/s | 17.8m
[Ep   2450000/50000000] avg_r=  0.271 | h2h=  0.0000 | br= 0.8688 | avg= 0.3738 | fc=0.332 |   2399 ep/s | 18.2m
[Ep   2500000/50000000] avg_r=  0.280 | h2h=  0.0000 | br= 0.8679 | avg= 0.3733 | fc=0.342 |   2309 ep/s | 18.5m
